Age,Income,Education,HoursWorked,Purchase
56,65,1,48,1
46,41,1,45,0
32,62,0,45,0
60,33,0,40,1
25,57,2,40,0
38,71,1,33,1
56,15,1,46,1
36,38,2,44,0
40,58,2,44,1
28,46,0,34,0
28,55,1,18,0
41,40,0,50,1
53,51,2,35,1
57,47,1,31,1
41,67,3,46,1
20,53,0,36,0
39,55,0,50,0
19,43,0,46,0
41,42,0,46,0
61,43,0,26,1
47,55,3,52,1
55,43,0,42,1
19,54,0,36,0
38,81,2,41,0
50,63,1,22,1
29,45,2,44,0
39,68,0,29,0
61,43,1,26,1
42,19,0,24,0
44,34,0,51,0
59,21,3,33,1
45,44,0,55,1
33,50,1,34,0
32,75,1,22,0
64,54,1,28,1
61,46,2,52,1
20,62,0,38,0
54,16,1,34,0
24,53,3,41,1
38,61,1,45,1
26,27,3,51,0
56,67,0,54,1
35,55,1,36,0
21,43,0,26,0
42,59,2,35,1
31,84,3,42,1
26,52,0,30,0
43,53,1,30,1
19,43,0,43,0
37,37,1,39,1
45,62,1,40,1
64,37,3,32,1
24,51,1,37,0
61,42,1,30,1
25,57,0,48,0
64,55,0,50,1
52,65,0,21,0
31,42,0,30,0
34,45,2,25,0
53,35,1,33,1
57,43,1,39,1
21,55,0,25,0
19,61,2,30,0
23,36,2,29,0
59,63,0,42,1
21,70,2,40,0
46,56,1,32,1
35,78,0,41,0
43,38,1,34,0
61,31,1,37,1
51,23,0,56,1
27,72,3,53,0
53,59,2,27,1
31,49,1,48,0
48,54,1,48,1
32,33,1,28,0
25,86,1,48,0
31,51,1,55,0
40,51,0,28,1
57,60,1,30,1
38,57,2,50,1
33,53,1,42,0
62,38,0,45,1
35,57,2,43,1
64,78,0,43,1
41,70,0,26,0
43,73,0,50,0
42,42,1,51,0
62,35,2,37,1
58,48,1,39,1
46,50,0,24,0
32,66,2,45,1
62,24,2,45,1
18,72,2,39,1
42,47,0,51,0
24,43,1,36,0
26,34,3,45,1
41,25,2,29,1
18,62,0,39,0
61,51,0,38,1
